Title,Authors,Year,Journal,DOI
Hydro-Meteorological and Meteorological Threshold Attribution of Historical Rainfall-Induced Landslides Through Triggering Time Detection from Basin-Scale Numerical Modelling,"Anamika Sekar*, Sudhanshu Dixit*, Srikrishnan Siva Subramanian, Sumit Sen",2024,Preprint,http://dx.doi.org/10.2139/ssrn.5034644
Documenting the Most Disastrous Meppadi Landslide of 30 th July 2024,"Ali P. Yunus,KS Sajinkumar,Girish Gopinath,Srikrishnan Siva Subramanian, Jiyadh THANVEER V P, …..,  Manish Dewrari, Sudhanshu Dixit,….., Sumit Sen.",2024,Preprint,http://dx.doi.org/10.22541/au.172677269.94602265/v1
Numerical model derived intensity duration thresholds for early warning of rainfall-induced debris flows in the Himalayas,"<b>Sudhanshu Dixit*, Srikrishnan Siva Subramanian*</b>, Piyush Srivastava, Ali Pulpadan Yunus, Tapas Ranjan Martha, Sumit Sen",2024,Natural Hazards and Earth System Sciences Discussions,https://doi.org/10.5194/nhess-2022-297
